S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
287,SPHL,-,688,688,662,678.3,669.9,"9,244.00",674.9,"6,192,512.20",74,3.4,26,0.5,3.93,1.24,584.9,548.61,750.2,382.2
288,SPIL,-,887,887,860.1,880,874.08,"12,502.00",872.3,"10,927,730.60",89,7.7,26.9,0.88,3.13,0.67,844.06,808.97,"1,076.00",672.1
289,SPL,-,869.9,875,850,850,861.17,"2,305.00",860,"1,984,986.70",69,-10,25,-1.16,2.94,-1.31,778.29,742.91,"1,109.60",619
290,SRLI,-,475,475,461.1,468.9,469.8,"47,551.00",468.8,"22,339,289.10",478,0.1,13.9,0.02,3.01,-0.19,488.5,476.1,654,401.5
291,SSHL,-,230.1,233,225.5,227.5,229.8,"90,408.00",229.7,"20,775,764.70",345,-2.2,7.5,-0.96,3.33,-1.01,194.38,187.17,281.1,133
292,STC,-,"6,198.90","6,198.90","5,861.00","5,969.00","5,959.08","3,834.00","6,090.00","22,847,106.00",146,-121,337.9,-1.99,5.77,0.17,"5,291.22","5,220.40","7,000.00","4,210.00"
293,SWBBL,-,"1,076.00","1,092.00","1,069.00","1,080.00","1,082.55","22,597.00","1,055.00","24,462,466.20",224,25,23,2.37,2.15,-0.24,934.87,872.63,"1,232.00",653.7
294,SWMF,-,845.2,862,845.2,855,853.6,"5,548.00",855.3,"4,735,766.60",76,-0.3,16.8,-0.04,1.99,0.16,881.93,819.76,"1,214.80",541
295,TAMOR,-,477.4,499,477.4,490,485.76,"16,444.00",487,"7,987,883.20",203,3,21.6,0.62,4.52,0.86,443.49,428.88,596,230.1
296,TPC,-,493.5,494,476,484,484.65,"19,702.00",489.9,"9,548,629.20",168,-5.9,18,-1.2,3.78,-0.13,500.8,518.57,723,306.2
297,TRH,-,"1,209.00","1,209.00","1,153.00","1,157.00","1,174.36","4,724.00","1,187.00","5,547,661.20",88,-30,56,-2.53,4.86,-1.5,949.55,898.98,"1,538.00",640
298,TSHL,-,880.1,935,880.1,913.9,915.59,"12,199.00",897,"11,169,329.50",168,16.9,54.9,1.88,6.24,-0.19,688.5,635.3,"1,231.00",300.3
299,TVCL,-,475,504.5,470.1,483.9,487.48,"27,742.00",476,"13,523,698.00",230,7.9,34.4,1.66,7.32,-0.74,486.92,504.68,660,268
300,UAIL,-,677.5,677.5,656.1,656.1,667.97,"21,068.00",668,"14,072,717.10",145,-11.9,21.4,-1.78,3.26,-1.81,624.11,605.93,837.3,470.5
301,UHEWA,-,501,512.1,501,508.9,505.53,"6,365.00",510.4,"3,217,722.10",89,-1.5,11.1,-0.29,2.22,0.66,478.36,437.13,622,250.8
302,ULBSL,-,"3,160.00","3,232.90","3,125.00","3,197.50","3,186.42",398,"3,216.00","1,268,197.00",24,-18.5,107.9,-0.58,3.45,0.35,"2,353.40","1,958.14","3,630.00",944.8
